ID,Comments,raw text,emojis
1535,yes😭 akere there are 3 factions,yes akere there are 3 factions,['😭']
1536,"started my morning with a 30 minute back massage . 

now after breakfast i’m having a full leg  hand massage . 

and later tonight before dinner i’m having a 90 minute hot stone massage. 

perfect way to end spring break 🧖🏾‍♀️","started my morning with a 30 minute back massage . 

now after breakfast i’m having a full leg &amp; hand massage . 

and later tonight before dinner i’m having a 90 minute hot stone massage. 

perfect way to end spring break ‍♀️","['🧖', '🏾']"
1537,i’ve just had a lovely lad called moeez at the door here in stockport who has won me over as a new customer - first delivery coming tomorrow 🥛🍳 very nice salesperson and rep 😌,i’ve just had a lovely lad called moeez at the door here in stockport who has won me over as a new customer - first delivery coming tomorrow  very nice salesperson and rep ,"['🥛', '🍳', '😌']"
1538,no one wants/needs to see my beached-whale ass in a wet t-shirt 😂,no one wants/needs to see my beached-whale ass in a wet t-shirt ,['😂']
1539,like it all went well together... 😭😭😭,like it all went well together... ,"['😭', '😭', '😭']"
1540,whenever i reference this video no one knows what i’m talking about and genuinely think i just be calling anything racist😭😭,whenever i reference this video no one knows what i’m talking about and genuinely think i just be calling anything racist,"['😭', '😭']"
1541,i love when i’m receiving at work and i pull out a  book like oh that’s my homie 🥰,i love when i’m receiving at work and i pull out a  book like oh that’s my homie ,['🥰']
1542,🤣🤣🤣 someone did this??, someone did this??,"['🤣', '🤣', '🤣']"
1543,not me crying eating my birthday cake while watching behind the golden hour songs because im so proud of mark lee and i love to see how passionate he is when he talks about his works 🥹🥺🤍,not me crying eating my birthday cake while watching behind the golden hour songs because im so proud of mark lee and i love to see how passionate he is when he talks about his works ,"['\U0001f979', '🥺', '🤍']"
1544,do you think po they'll still sell the 1st md lineup of nct ccomaz when they open for the 2nd md lineup? 🥲 — i think so! when they released the second line up for nct home items from first line up were still included naman tho nung t…,do you think po they'll still sell the 1st md lineup of nct ccomaz when they open for the 2nd md lineup?  — i think so! when they released the second line up for nct home items from first line up were still included naman tho nung t…,['🥲']
1545,for you tab not for youing why am i seeing mk antis 😭,for you tab not for youing why am i seeing mk antis ,['😭']
1546,you gave us the recipe let's all go to the kitchen now 👨‍🍳,you gave us the recipe let's all go to the kitchen now ‍,"['👨', '🍳']"
1547,i prayed for days like this 😭,i prayed for days like this ,['😭']
1548,data collection is so exhausting 😫.,data collection is so exhausting .,['😫']
1549,"thank you for loving chenle and our daughter, daegal 🥹🤍","thank you for loving chenle and our daughter, daegal ","['\U0001f979', '🤍']"
1550,"johan messely 
our final painter for today.  
i never know what to post for our last one and today this feels right 
‘in the antique dealers garden.   always pretty and full of light 
thanks my twitterarty 
back tomorrow with more.   
helen😊🌷drs👨🏻‍🍳🍴🌻♥️toots💜🐶max🐶💚🙄","johan messely 
our final painter for today.  
i never know what to post for our last one and today this feels right 
‘in the antique dealers garden.   always pretty and full of light 
thanks my twitterarty 
back tomorrow with more.   
helendrs‍♥️tootsmax","['😊', '🌷', '👨', '🏻', '🍳', '🍴', '🌻', '💜', '🐶', '🐶', '💚', '🙄']"
1551,so my kkotgaruz were supposed to debut as nct members if ever 😭 both of them being an ex sm trainee wow..,so my kkotgaruz were supposed to debut as nct members if ever  both of them being an ex sm trainee wow..,['😭']
1552,thank you 🥺 i hope you had fun at your show too!!,thank you  i hope you had fun at your show too!!,['🥺']
1553,"aww it’s nice and dry here and has been all day, it was sunny earlier, but it’s been cold all day too….lol… are you on your way home?🏠🏘️🏕️⛺️🏝️ safe journey amy👸🐥🐣🐔🥚🍳🐣","aww it’s nice and dry here and has been all day, it was sunny earlier, but it’s been cold all day too….lol… are you on your way home?️️⛺️️ safe journey amy","['🏠', '🏘', '🏕', '🏝', '👸', '🐥', '🐣', '🐔', '🥚', '🍳', '🐣']"
1554,🤡🌎all this honks lost...like tears in the rain,all this honks lost...like tears in the rain,"['🤡', '🌎']"
1555,"4.10.23 #f3counts
 7🏰🥇
 5🌃🥈
 5🐆🥈
 5🍳🥈
 4🐂
#r 4🤼‍♂️
 3⛵️
 3🚧
 2🏟️
 2🪖
#therock 1🧗‍♂️
total 41
the pax get up and moving to work off those easter feast calories! good work men.","4.10.23 #f3counts
 7
 5
 5
 5
 4
#r 4‍♂️
 3⛵️
 3
 2️
 2🪖
#therock 1‍♂️
total 41
the pax get up and moving to work off those easter feast calories! good work men.","['🏰', '🥇', '🌃', '🥈', '🐆', '🥈', '🍳', '🥈', '🐂', '🤼', '🚧', '🏟', '🧗']"
1556,"thanks to betfuse telegram channel for the winings today💰✅ evening game dropping soon, join via the link let’s win 👇🏻all games are free💯 

 

billboard 200 davido daddy metamask uberfacts wizkid made in lagos burna boy bola ahmed tinubu teni rema asisat","thanks to betfuse telegram channel for the winings today✅ evening game dropping soon, join via the link let’s win all games are free 

 

billboard 200 davido daddy metamask uberfacts wizkid made in lagos burna boy bola ahmed tinubu teni rema asisat","['💰', '👇', '🏻', '💯']"
1557,i need my asos and shein cart cleared. 🤭(tactics),i need my asos and shein cart cleared. (tactics),['🤭']
1558,oh we cooking now 👨‍🍳,oh we cooking now ‍,"['👨', '🍳']"
1559,classic python easter message.😂,classic python easter message.,['😂']
1560,congrats 🎈🍾🎉 🎊 may your happiness never cease 🙏🙏,congrats   may your happiness never cease ,"['🎈', '🍾', '🎉', '🎊', '🙏', '🙏']"
1561,"is it time to join dedao ?   

yes yes it has taken me this long my degods where across the world from me, straight after purchase until now...

who's ready to see me light it up in the degods chat finally  🧑‍🍳🌱","is it time to join dedao ?   

yes yes it has taken me this long my degods where across the world from me, straight after purchase until now...

who's ready to see me light it up in the degods chat finally  ‍","['🧑', '🍳', '🌱']"
1562,i love this interaction sm. your minds 👩‍🍳💋,i love this interaction sm. your minds ‍,"['👩', '🍳', '💋']"
1563,the fit is disgusting ngl 😐,the fit is disgusting ngl ,['😐']
1564,"#ydwinkles

📦 . . . wts lfb nct ccomaz wayv pc ph 
       
     ✹ hendery nct_ccomaz trading card blue  red ver set
       % ₱440 all in
         ⤷ dop : payo  
         ⤷ x yet secured from yd, feta!

“mine” to claim.","#ydwinkles

 . . . wts lfb nct ccomaz wayv pc ph 
       
     ✹ hendery nct_ccomaz trading card blue &amp; red ver set
       % ₱440 all in
         ⤷ dop : payo  
         ⤷ x yet secured from yd, feta!

“mine” to claim.",['📦']
1565,"🍳 open to all bring your friends  family to the area's most delicious brunch 🥓

sunday, april 23 | 11am - 2pm
details: 

reservations are required; call or email the club: (937) 773-7744 |
dsteele.golf"," open to all bring your friends &amp; family to the area's most delicious brunch 

sunday, april 23 | 11am - 2pm
details: 

reservations are required; call or email the club: (937) 773-7744 |
dsteele.golf","['🍳', '🥓']"
1566,"my tbr just keeps increasing but i'm sure i can make room for one more 😂

good luck everyone xx 🤞","my tbr just keeps increasing but i'm sure i can make room for one more 

good luck everyone xx ","['😂', '🤞']"
1567,"this sunday✨👩🏻‍🍳
houston, texas! 📍
place your orders now!📖","this sunday✨‍
houston, texas! 
place your orders now!","['👩', '🏻', '🍳', '📍', '📖']"
1568,the amount of fanart i see on pinterest with the two of them i cant 😭,the amount of fanart i see on pinterest with the two of them i cant ,['😭']
1569,"# novice investors are better served by passive funds, says blue whale co-founder 🥖🥞🍯🍞🥐🥖🍎🍐🍊🥫🍳🥚🍋🍌🍉🥦🍎🍍🍑🍇🍓🍅🥕🌽🍳🥚revolut’s token gestures","# novice investors are better served by passive funds, says blue whale co-founder revolut’s token gestures","['🥖', '🥞', '🍯', '🍞', '🥐', '🥖', '🍎', '🍐', '🍊', '🥫', '🍳', '🥚', '🍋', '🍌', '🍉', '🥦', '🍎', '🍍', '🍑', '🍇', '🍓', '🍅', '🥕', '🌽', '🍳', '🥚']"
1570,"🎉exciting news! 🚀released a new template that lets you create your own 🍲chatgpt based ai app for recipe generator in just 🔟 minutes! 🤯super easy and fun to use! #chatgpt #nocode #ai🍴👨‍🍳
link:","exciting news! released a new template that lets you create your own chatgpt based ai app for recipe generator in just  minutes! super easy and fun to use! #chatgpt #nocode #ai‍
link:","['🎉', '🚀', '🍲', '🔟', '🤯', '🍴', '👨', '🍳']"
1571,of course lol we trim off the excess rancid fat but the steak isn’t bad it’s actually cooked  all this would need is a nice sear and boom we have steak 🥩,of course lol we trim off the excess rancid fat but the steak isn’t bad it’s actually cooked  all this would need is a nice sear and boom we have steak ,['🥩']
1572,you’re using a spatula and not a big scraper thingy?! 😮 haha! 😉 looks tasty!,you’re using a spatula and not a big scraper thingy?!  haha!  looks tasty!,"['😮', '😉']"
1573,"you're welcome, po. thank you for also strengthening our history and culture of the philippines.  💚","you're welcome, po. thank you for also strengthening our history and culture of the philippines.  ",['💚']
1574,thi is sweet 🥹,thi is sweet ,['\U0001f979']
1575,could’ve donated or something 😭😭😭😭😭 those poor plushies,could’ve donated or something  those poor plushies,"['😭', '😭', '😭', '😭', '😭']"
1576,is that a red flag i spot a potential indication of a red flag individual(s)/red flag concept(s)/red flag behaviour(s) 👁️👁️,is that a red flag i spot a potential indication of a red flag individual(s)/red flag concept(s)/red flag behaviour(s) ️️,"['👁', '👁']"
1577,"not your 🔑's, not your #crypto.

safety first, just a friendly reminder.

something is cooking. 🍳","not your 's, not your #crypto.

safety first, just a friendly reminder.

something is cooking. ","['🔑', '🍳']"
1578,"thank you, 🐐. we'll let you cook. 🍳","thank you, . we'll let you cook. ","['🐐', '🍳']"
1579,"ex:
#talkaboutmark #mark_goldenhour tells me:

reality speaking, eggs are one of the main nutrients but i wont get hungry just because i cant cook🍳
in metaphore, dont get worry over something you incapable of. flaws doesnt kill you. turn the table and eat them up.","ex:
#talkaboutmark #mark_goldenhour tells me:

reality speaking, eggs are one of the main nutrients but i wont get hungry just because i cant cook
in metaphore, dont get worry over something you incapable of. flaws doesnt kill you. turn the table and eat them up.",['🍳']
1580,"he fine as hell, thank you sm for everything 🫦🫵🏻","he fine as hell, thank you sm for everything 🫵","['\U0001fae6', '🏻']"
1581,now they're just being mean 😭😭,now they're just being mean ,"['😭', '😭']"
1582,"omg this #ramsayskitchen breakfast menu 😋 which would you order?
🥯 smoked salmon bagel
🍳 eggs benedict
🧇 sticky toffee waffles
🥑 avocado toast","omg this #ramsayskitchen breakfast menu  which would you order?
 smoked salmon bagel
 eggs benedict
 sticky toffee waffles
 avocado toast","['😋', '🥯', '🍳', '🧇', '🥑']"
1583,"girl, take it as compliment. no derogatory indeed 🙏🏻✨😍","girl, take it as compliment. no derogatory indeed ✨","['🙏', '🏻', '😍']"
1584,"🍳 [station : nct lab] mark 마크 'golden hour' streaming chain 🍳

🔗 

tags :   

golden hour out now
#마크가_말아주는_골든아워
#goldenhourwithmark"," [station : nct lab] mark 마크 'golden hour' streaming chain 

 

tags :   

golden hour out now
#마크가_말아주는_골든아워
#goldenhourwithmark","['🍳', '🍳', '🔗']"
1585,make every morning a little better by elevating your living space with nme builders. 🍳 we'll help you create a home that reflects your family and enhances your daily life.,make every morning a little better by elevating your living space with nme builders.  we'll help you create a home that reflects your family and enhances your daily life.,['🍳']
1586,"you and you mates ever just make plans, and on the day everyone goes quiet, like it’s a mutual agreement no one is going?😭😭","you and you mates ever just make plans, and on the day everyone goes quiet, like it’s a mutual agreement no one is going?","['😭', '😭']"
1587,"dreamy, creamy decadence. these silky scrambled eggs made with crème fraiche will make your morning absolutely divine.🍳","dreamy, creamy decadence. these silky scrambled eggs made with crème fraiche will make your morning absolutely divine.",['🍳']
1588,you are welcome stella! thank you for all you do to help us parents!💗,you are welcome stella! thank you for all you do to help us parents!,['💗']
1589,"in the indonesian table, award-winning author petty pandean-elliot tells the story of her indonesian heritage through 150 much-loved and delicious recipes perfect for home cooks everywhere.

🍳 click to recreate this recipe at home:","in the indonesian table, award-winning author petty pandean-elliot tells the story of her indonesian heritage through 150 much-loved and delicious recipes perfect for home cooks everywhere.

 click to recreate this recipe at home:",['🍳']
1590,"golden hour streaming party ❤️‍🔥
don’t break the chain!

#goldenhourwithmark  
#마크가_말아주는_골든아워

tagging:   

🔗","golden hour streaming party ❤️‍
don’t break the chain!

#goldenhourwithmark  
#마크가_말아주는_골든아워

tagging:   

","['🔥', '🔗']"
1591,"💫special collaboration 💫

🍳the coolest monster x fox domain club 🍳 

🔥vegeta-themed🔥

available on  
the coolest monster


fox domain club


let's get it ✨💖

#nftcommunity #nftdrop #verticalnft #glitchgang","special collaboration 

the coolest monster x fox domain club  

vegeta-themed

available on  
the coolest monster


fox domain club


let's get it ✨

#nftcommunity #nftdrop #verticalnft #glitchgang","['💫', '💫', '🍳', '🍳', '🔥', '🔥', '💖']"
1592,so mark  dress actually have 3 songs released alr 😯,so mark &amp; dress actually have 3 songs released alr ,['😯']
1593,"🍳 [station : nct lab] mark 마크 'golden hour' streaming chain 🍳

🔗 

izin tags :    

golden hour out now
#마크가_말아주는_골든아워
#goldenhourwithmark"," [station : nct lab] mark 마크 'golden hour' streaming chain 

 

izin tags :    

golden hour out now
#마크가_말아주는_골든아워
#goldenhourwithmark","['🍳', '🍳', '🔗']"
1594,"hmm... either i'm missing something, or ""grant developer to"" does not work in 23c free - if so, then it's ironic that it's called ""developers release"" 😇","hmm... either i'm missing something, or ""grant developer to"" does not work in 23c free - if so, then it's ironic that it's called ""developers release"" ",['😇']
1595,i just close my moth cause i don’t want to talk but it’s hurts me everytime 🤦🏿‍♀️,i just close my moth cause i don’t want to talk but it’s hurts me everytime ‍♀️,"['🤦', '🏿']"
1596,"excuse me, ms. ,

we have a package to deliver for you 📦🚚

message:

from:","excuse me, ms. ,

we have a package to deliver for you 

message:

from:","['📦', '🚚']"
1597,watching the music films on mute bcs i wanna listen to the songs with the album😭,watching the music films on mute bcs i wanna listen to the songs with the album,['😭']
1598,oh please 😭😭 oh please !!!!! how e take relate common now !!!,oh please  oh please !!!!! how e take relate common now !!!,"['😭', '😭']"
1599,"happy birthday to my fave loser and pugoooo! see you later, karoring! 💙 

blooming karina day
#지민아_마이의_푸른봄은_너야
#welcome_to_mykarina","happy birthday to my fave loser and pugoooo! see you later, karoring!  

blooming karina day
#지민아_마이의_푸른봄은_너야
#welcome_to_mykarina",['💙']
1600,if they actually know nothing not sure they will be built this way imo 🫢,if they actually know nothing not sure they will be built this way imo ,['\U0001fae2']
1601,"⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
🐯 : may tomorrow will be bright as my handsome face. the messages will be reply soon. lofyu.
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀","⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
 : may tomorrow will be bright as my handsome face. the messages will be reply soon. lofyu.
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀",['🐯']
1602,i am so excited to see jungwoo's overall acting on his part 🥹 i feel like he will exceed my expectations,i am so excited to see jungwoo's overall acting on his part  i feel like he will exceed my expectations,['\U0001f979']
1603,oh this giving  brooklyn teather kids youtube vlogger vibes 🤩🤩🤩,oh this giving  brooklyn teather kids youtube vlogger vibes ,"['🤩', '🤩', '🤩']"
1604,this is why i only buy niche perfumes cuz i don’t want anyone to smell like me. and on that rare occasion someone does…. they’ll instantly be reminded of me 🤭,this is why i only buy niche perfumes cuz i don’t want anyone to smell like me. and on that rare occasion someone does…. they’ll instantly be reminded of me ,['🤭']
1605,and also his humble personality 🥺🫶🏼,and also his humble personality 🫶,"['🥺', '🏼']"
1606,"#mark_goldenhour streaming chain🍳

🔗 

tag: @/markfs @/markfs @/markfs @/markfs
qrt with your proof 🩵

golden hour out now
#마크가_말아주는_골든아워
#mark_goldenhour #mark","#mark_goldenhour streaming chain

 

tag: @/markfs @/markfs @/markfs @/markfs
qrt with your proof 🩵

golden hour out now
#마크가_말아주는_골든아워
#mark_goldenhour #mark","['🍳', '🔗']"
1607,"it be the ones that have negative things to say, when it’s something positive y’all ninjas don’t shut up. damn why black people always gotta hate on something good. go get a life and take a look at yours first before passing judgement. 🤦🏽‍♂️🤔","it be the ones that have negative things to say, when it’s something positive y’all ninjas don’t shut up. damn why black people always gotta hate on something good. go get a life and take a look at yours first before passing judgement. ‍♂️","['🤦', '🏽', '🤔']"
1608,it’s to easy cooking des niggas…👨🏾‍🍳 🥱 ..,it’s to easy cooking des niggas…‍  ..,"['👨', '🏾', '🍳', '🥱']"
1609,"no yeah!! they were checking her out for sure, but jh was particularly interested 👀","no yeah!! they were checking her out for sure, but jh was particularly interested ",['👀']
1610,"thank-you and good morning  ☕️🍳🥛

i hope everyone has a wonderful day!! 🌅🌞👋🏻😀👋🏻👋🏻","thank-you and good morning  ☕️

i hope everyone has a wonderful day!! ","['🍳', '🥛', '🌅', '🌞', '👋', '🏻', '😀', '👋', '🏻', '👋', '🏻']"
1611,🤡🌎 there are another 2 patterns, there are another 2 patterns,"['🤡', '🌎']"
1612,mark lee adventures at work and with friends ⭐️🌷💐,mark lee adventures at work and with friends ⭐️,"['🌷', '💐']"
1613,"rios brings 2 home with his second double of the game 🔥

exit velocity was 169.7 mph, per","rios brings 2 home with his second double of the game 

exit velocity was 169.7 mph, per",['🔥']
1614,"nonese kuba nyina yarakoze genocide nkuko ubivuze nawe bimugira umugenocidaire!?🤷🏻‍♂️ hate can’t drive out hate, only love can do that🫶🏾","nonese kuba nyina yarakoze genocide nkuko ubivuze nawe bimugira umugenocidaire!?‍♂️ hate can’t drive out hate, only love can do that🫶","['🤷', '🏻', '🏾']"
1615,"hello kinbridge community! good news, spring programming begins this week. please register to participate in all our fun activities. 👩‍🍳🏸🎨⚽ we are excited to see you this tuesday and thursday. keep an eye out for more programming!

#kinbridge
#community
#cambridge
#galt","hello kinbridge community! good news, spring programming begins this week. please register to participate in all our fun activities. ‍⚽ we are excited to see you this tuesday and thursday. keep an eye out for more programming!

#kinbridge
#community
#cambridge
#galt","['👩', '🍳', '🏸', '🎨']"
1616,"mine was tedder rice 😁
cause i used to do my tdb in kenneth dike library","mine was tedder rice 
cause i used to do my tdb in kenneth dike library",['😁']
1617,winner crocs are so expensive 😭,winner crocs are so expensive ,['😭']
1618,i need to submit papers and stuff 🙂,i need to submit papers and stuff ,['🙂']
1619,"great to hear that our beloved sister. if you managed to hit your target, we are willing to ship you 1 captured non sticky cooking pan 🍳.","great to hear that our beloved sister. if you managed to hit your target, we are willing to ship you 1 captured non sticky cooking pan .",['🍳']
1620,"the chefs 👨‍🍳... 
it's cool of course 💗, but it all came so suddenly in one day 🌊🍂🫕... the kids had a photo shoot for each m/v ☺️🤔
so cute 💛","the chefs ‍... 
it's cool of course , but it all came so suddenly in one day ... the kids had a photo shoot for each m/v ☺️
so cute ","['👨', '🍳', '💗', '🌊', '🍂', '🫕', '🤔', '💛']"
1621,the dedication of this man is really on another level. i just hope he got some time to take a rest. 🥺,the dedication of this man is really on another level. i just hope he got some time to take a rest. ,['🥺']
1622,"play this mayor of ekiti game re-edited by betfuse. please play it now! 🏀nba

7k to win 60 million ✅ 

join their telegram to get the code👇🏻 



billboard 200 davido daddy metamask dele alli uberfacts wizkid made in lagos burna boy bola ahmed tinubu teni","play this mayor of ekiti game re-edited by betfuse. please play it now! nba

7k to win 60 million ✅ 

join their telegram to get the code 



billboard 200 davido daddy metamask dele alli uberfacts wizkid made in lagos burna boy bola ahmed tinubu teni","['🏀', '👇', '🏻']"
1623,"🔔 new blog post alert 🔔 brasserie la rotonde in the  , under the watchful eye of chef  👩🏼‍🍳 have a look on dined there, sipped that ⬇️ for a glimpse into its stunning dining room and nouveau #french cuisine 🇫🇷  #food #restaurant"," new blog post alert  brasserie la rotonde in the  , under the watchful eye of chef  ‍ have a look on dined there, sipped that ⬇️ for a glimpse into its stunning dining room and nouveau #french cuisine   #food #restaurant","['🔔', '🔔', '👩', '🏼', '🍳', '🇫', '🇷']"
1624,i really enjoyed it myself… they pulled some strings to make it happen fasho 👨🏾‍🍳💋,i really enjoyed it myself… they pulled some strings to make it happen fasho ‍,"['👨', '🏾', '🍳', '💋']"
1625,"you’re just here in no talking stage,nobody wants you,nobody dm’s you,nobody dey crush on you,nobody dey send you cute morning messages…you just dey 😭😭","you’re just here in no talking stage,nobody wants you,nobody dm’s you,nobody dey crush on you,nobody dey send you cute morning messages…you just dey ","['😭', '😭']"
1626,locked in a big one 👨🏽‍🍳💪🏽✈️,locked in a big one ‍✈️,"['👨', '🏽', '🍳', '💪', '🏽']"
1627,"the most important meal of the day! 🍳 

#castlebridgehospitality #hotelmanagement #hotelindigostratford #breakfast","the most important meal of the day!  

#castlebridgehospitality #hotelmanagement #hotelindigostratford #breakfast",['🍳']
1628,chill will is the ultimate clutch player! he's got ice in his veins and brings the heat to every game 🔥 #fortheland click my profile plz,chill will is the ultimate clutch player! he's got ice in his veins and brings the heat to every game  #fortheland click my profile plz,['🔥']
1629,"morning workouts, vlogs, devotionals and nourishing breakfasts 
🧘🏻‍♀️💓🍵🪴🍳✨","morning workouts, vlogs, devotionals and nourishing breakfasts 
‍♀️✨","['🧘', '🏻', '💓', '🍵', '🪴', '🍳']"
1630,"congratulations to the culinary arts students who took home top prizes in a culinary arts contest! 🎉👨‍🍳👩‍🍳 

your hard work paid off with delicious dishes and creative presentations that showed off your skills.

district featured:","congratulations to the culinary arts students who took home top prizes in a culinary arts contest! ‍‍ 

your hard work paid off with delicious dishes and creative presentations that showed off your skills.

district featured:","['🎉', '👨', '🍳', '👩', '🍳']"
1631,"that's right - we offer catering services for all sorts of occasions, so friends far and wide can experience a little bit of the magic we make here at walters!👨‍🍳 ✨ 

head over to our website to browse our selected packages  see which one best suits your in-house catering needs!","that's right - we offer catering services for all sorts of occasions, so friends far and wide can experience a little bit of the magic we make here at walters!‍ ✨ 

head over to our website to browse our selected packages &amp; see which one best suits your in-house catering needs!","['👨', '🍳']"
1632,"watching this rly make me more more and more adore him in another way, somehow this video make me realize that there is no way for me to stop worshiping him; i'm stuck. only mark lee can do this to me😮‍💨","watching this rly make me more more and more adore him in another way, somehow this video make me realize that there is no way for me to stop worshiping him; i'm stuck. only mark lee can do this to me‍","['😮', '💨']"
1633,excuse what ???? 😭😭😭,excuse what ???? ,"['😭', '😭', '😭']"
1634,the way my intrusive thoughts would've taken over 🥴😂,the way my intrusive thoughts would've taken over ,"['🥴', '😂']"
1635,"mf’s don’t allow you to be chill , that’s when they try to get over on you 😭","mf’s don’t allow you to be chill , that’s when they try to get over on you ",['😭']
1636,"🍳 [station : nct lab] mark 마크 'golden hour' streaming chain 🍳

🔗 

izin tag ya bestie :    

golden hour out now
#마크가_말아주는_골든아워
#goldenhourwithmark"," [station : nct lab] mark 마크 'golden hour' streaming chain 

 

izin tag ya bestie :    

golden hour out now
#마크가_말아주는_골든아워
#goldenhourwithmark","['🍳', '🍳', '🔗']"
1637,"‘did you have an enjoyable bank holiday?’

well it pissed down most of the day so i stayed in and cleaned the oven and changed the grill pan 🍳

that right there is being middle aged summed up in one tweet","‘did you have an enjoyable bank holiday?’

well it pissed down most of the day so i stayed in and cleaned the oven and changed the grill pan 

that right there is being middle aged summed up in one tweet",['🍳']
1638,"only a few days left to register for this thursday's breakfast networking! join us on april 13th at monte carlo inn - 8900 woodbine ave. from 7:30am - 9:30am for a morning filled with networking and a hearty breakfast 🍳

register here ➡️","only a few days left to register for this thursday's breakfast networking! join us on april 13th at monte carlo inn - 8900 woodbine ave. from 7:30am - 9:30am for a morning filled with networking and a hearty breakfast 

register here ➡️",['🍳']
1639,wth 😭😭 theyre not even smiling or nothing literally no emotion 😭😭,wth  theyre not even smiling or nothing literally no emotion ,"['😭', '😭', '😭', '😭']"
1640,"ok so far : can we go back, ordinary and kiss are spot on? dive sound delicious but idk if it's the type of sexy i was expecting from it?🤔🤔🤔🤔🤔🤔","ok so far : can we go back, ordinary and kiss are spot on? dive sound delicious but idk if it's the type of sexy i was expecting from it?","['🤔', '🤔', '🤔', '🤔', '🤔', '🤔']"
1641,honestly i’m so glad they promoting like this 😭 bringing me back to favorite era. thank you dojaejung,honestly i’m so glad they promoting like this  bringing me back to favorite era. thank you dojaejung,['😭']
1642,its a soulmate thing🤓,its a soulmate thing,['🤓']
1643,"thanks for the weekend wishes! can't wait to kick back, relax, and enjoy some fun in the sun ☀️🍹🌴 #weekendvibes #tgif","thanks for the weekend wishes! can't wait to kick back, relax, and enjoy some fun in the sun ☀️ #weekendvibes #tgif","['🍹', '🌴']"
1644,can't wait to see who takes home the crown in #tournamentofchampions! these four chefs are the real deal 🔥👨‍🍳👩‍🍳 #finalfour check my pin tweet bro,can't wait to see who takes home the crown in #tournamentofchampions! these four chefs are the real deal ‍‍ #finalfour check my pin tweet bro,"['🔥', '👨', '🍳', '👩', '🍳']"
1645,"happy birthday my gf!!! 💐🧸 

#지민아_마이의_푸른봄은_너야
#welcome_to_mykarina","happy birthday my gf!!! 🧸 

#지민아_마이의_푸른봄은_너야
#welcome_to_mykarina",['💐']
1646,"bro can you be ugly please, can you make things easier for me please 😭😭","bro can you be ugly please, can you make things easier for me please ","['😭', '😭']"
1647,please be kind for them. they're too precious☹️🤍,please be kind for them. they're too precious☹️,['🤍']
1648,"😊#cleanairsaveslives
☀️#renewableenergynow
⚡️#electrifyeverything
⚡️#electricnotgas 🏠👩‍👧👩‍🍳

gas stoves emit toxic #airpollution and #greenhousegases

before gas stove
no2 baseline =18 ppb
(33.84 μg/m3) 

when cooking with gas stove:
197 ppb
(370.36 μg/m3)","#cleanairsaveslives
☀️#renewableenergynow
⚡️#electrifyeverything
⚡️#electricnotgas ‍‍

gas stoves emit toxic #airpollution and #greenhousegases

before gas stove
no2 baseline =18 ppb
(33.84 μg/m3) 

when cooking with gas stove:
197 ppb
(370.36 μg/m3)","['😊', '🏠', '👩', '👧', '👩', '🍳']"
1649,"melody of scents d3 ❄️🤍
#dojaejung_commitment","melody of scents d3 ❄️
#dojaejung_commitment",['🤍']
1650,"it is wrong i think 🤔 much about it breaks me down, people pretending to be someone else, i'm just flip to be out of the pan 🥘🍳 🥧 no i am not eating it up .
it matters to me stop it it makes the world say something new, u people are a lier for pretending to be another person.","it is wrong i think  much about it breaks me down, people pretending to be someone else, i'm just flip to be out of the pan   no i am not eating it up .
it matters to me stop it it makes the world say something new, u people are a lier for pretending to be another person.","['🤔', '🥘', '🍳', '🥧']"
1651,"his nugudom on yt 😭 so many intl markfs but all so uncoordinated and chill, child really was a miracle 😭 ig we know the results are very organic but i’m gonna need intl markfs to have a little no life energy when his solo album comes…","his nugudom on yt  so many intl markfs but all so uncoordinated and chill, child really was a miracle  ig we know the results are very organic but i’m gonna need intl markfs to have a little no life energy when his solo album comes…","['😭', '😭']"
1652,"[station : nct lab] mark 마크 'golden hour' mv  ผ่าน 
2.3🍳
#마크 #mark 
#goldenhour 
#goldenhourwithmark","[station : nct lab] mark 마크 'golden hour' mv  ผ่าน 
2.3
#마크 #mark 
#goldenhour 
#goldenhourwithmark",['🍳']
1653,"#mark_goldenhour streaming chain🍳

🔗 

izin tag ya    

qrt with ur proof

golden hour out now
#마크가_말아주는_골든아워
#mark_goldenhour #mark","#mark_goldenhour streaming chain

 

izin tag ya    

qrt with ur proof

golden hour out now
#마크가_말아주는_골든아워
#mark_goldenhour #mark","['🍳', '🔗']"
1654,game wey remain 3 to complete 😅😅,game wey remain 3 to complete ,"['😅', '😅']"
